stage,vdv_coef,acceptance_rate,num_facets,degree_variance_0,degree_variance_hinge,mean_degree_0,mean_degree_hinge,objective
coarse,0.5000,0.347972,1014,212.9363,3.2727,21.4603,5.0574,126.2115
coarse,0.7500,0.306126,1012,201.5784,3.7549,21.7634,5.0684,176.2306
coarse,1.1250,0.331157,1012,157.8200,3.2034,21.4180,5.0558,194.1422
coarse,1.6875,0.294466,1011,100.5014,2.6951,22.3425,5.0889,210.7488
coarse,2.5312,0.283909,1010,57.2857,2.7699,22.8249,5.1053,202.4401
coarse,3.7969,0.270099,1011,30.4130,2.5521,23.2414,5.1190,189.4323
coarse,5.6953,0.264095,1010,24.3546,2.6060,23.2184,5.1182,210.8114
coarse,8.5430,0.239406,1009,12.7779,2.4587,23.1954,5.1175,179.5258
coarse,12.8145,0.237475,1013,7.1703,2.4868,23.2874,5.1205,167.6898
coarse,19.2217,0.203561,1016,5.1949,2.6186,23.3563,5.1227,181.1013
coarse,28.8325,0.157677,1014,3.2945,2.5375,23.3103,5.1212,169.4484
coarse,43.2488,0.139053,1013,1.7910,2.4109,23.2874,5.1205,147.0320
coarse,64.8732,0.092991,1014,1.5014,2.4079,23.3103,5.1212,164.1458
coarse,97.3098,0.082249,1015,1.0268,2.4586,23.3333,5.1220,161.3346
coarse,145.9646,0.076106,1019,0.9111,2.6843,23.4253,5.1249,192.0620
coarse,218.9469,0.049462,1024,0.7082,2.5494,23.5402,5.1285,214.7366
fine,145.9646,0.079655,1018,0.8382,2.6406,23.4023,5.1242,178.7553
fine,153.2629,0.076004,1020,0.7990,2.6090,23.4483,5.1256,182.7590
fine,160.9260,0.077179,1020,0.7990,2.6542,23.4483,5.1256,186.9870
fine,168.9723,0.066764,1021,0.8239,2.6024,23.4713,5.1264,198.9666
fine,177.4209,0.071408,1023,0.7325,2.6645,23.5172,5.1278,195.4432
fine,186.2920,0.071799,1023,0.7325,2.6512,23.5172,5.1278,199.7258
fine,195.6066,0.056745,1021,0.7779,2.6041,23.4713,5.1264,205.2803
fine,205.3869,0.060362,1019,0.8191,2.6860,23.4253,5.1249,212.7906
fine,215.6562,0.060850,1023,0.7325,2.7130,23.5172,5.1278,213.9016
fine,226.4390,0.052297,1024,0.7082,2.8115,23.5402,5.1285,218.1813
fine,237.7610,0.048782,1022,0.7557,2.7815,23.4943,5.1271,225.9669
fine,249.6491,0.046139,1026,0.6564,2.9981,23.5862,5.1300,226.5575
fine,262.1315,0.044531,1025,0.6828,2.8415,23.5632,5.1293,233.0532
fine,275.2381,0.040847,1026,0.6564,2.8231,23.5862,5.1300,237.1461
fine,289.0000,0.032522,1027,0.6289,2.8031,23.6092,5.1307,241.1004
fine,303.4500,0.029029,1027,0.6289,2.8180,23.6092,5.1307,246.7476
fine,318.6225,0.024854,1030,0.5401,2.8179,23.6782,5.1329,246.6609
fine,334.5536,0.023155,1031,0.5084,2.9058,23.7011,5.1336,249.8323
fine,351.2813,0.019291,1030,0.5401,2.8162,23.6782,5.1329,257.1717
fine,368.8454,0.018780,1033,0.4418,2.7995,23.7471,5.1350,255.2160
fine,387.2876,0.012512,1031,0.5084,2.8842,23.7011,5.1336,265.5919
fine,406.6520,0.013298,1036,0.3340,2.8324,23.8161,5.1372,256.4316
fine,426.9846,0.008614,1037,0.2959,2.9480,23.8391,5.1379,257.3378
fine,448.3338,0.006635,1036,0.3340,2.9051,23.8161,5.1372,264.0972
fine,470.7505,0.004581,1037,0.2959,2.9149,23.8391,5.1379,264.3806
