vdv_coef,acceptance_rate,total_tried,total_accepted,num_facets,degree_variance_0,degree_variance_hinge,mean_degree_0,mean_degree_hinge,objective
0.5000,0.321809,50070,16113,10017,897.6201,5.6309,20.2671,5.0110,480.9410
0.7500,0.313481,50070,15696,10017,868.1984,5.5087,20.3288,5.0135,706.0977
1.1250,0.308397,50075,15443,10012,792.3982,5.3164,20.2672,5.0110,917.9731
1.6875,0.311222,50080,15586,10009,694.4055,5.0144,20.2611,5.0108,1195.4454
2.5312,0.309305,50080,15490,10012,567.1166,4.5146,20.2570,5.0106,1458.6606
3.7969,0.304225,50065,15231,10015,462.1301,4.1547,20.2630,5.0108,1782.0798
5.6953,0.298922,50090,14973,10012,341.6194,3.7581,20.2570,5.0106,1968.1717
8.5430,0.299641,50070,15003,10014,261.3226,3.4090,20.2405,5.0099,2251.5666
12.8145,0.296026,50080,14825,10017,183.4488,3.0086,20.2159,5.0089,2367.2842
19.2217,0.291214,50080,14584,10011,125.6422,2.7101,20.2652,5.0109,2436.9187
28.8325,0.278382,50075,13940,10017,79.9028,2.4022,20.2466,5.0102,2324.6430
43.2488,0.268997,50060,13466,10015,49.6511,2.1940,20.3041,5.0125,2180.4994
64.8732,0.249855,50065,12509,10013,30.2786,2.1407,20.3413,5.0140,2005.4622
97.3098,0.228058,50075,11420,10015,19.6918,2.1296,20.3454,5.0142,1953.8473
145.9646,0.205991,50075,10315,10017,13.1273,2.0660,20.3494,5.0144,1947.2792
218.9469,0.175657,50075,8796,10018,8.8232,2.0790,20.3514,5.0144,1948.9033
328.4204,0.143097,50085,7167,10013,6.5590,2.0951,20.3413,5.0140,2136.0487
492.6306,0.111737,50100,5598,10017,5.0745,2.1128,20.3494,5.0144,2452.1879
738.9459,0.071548,50120,3586,10018,4.0654,2.0913,20.3514,5.0144,2902.6958
1108.4189,0.033387,50110,1673,10026,3.4768,2.0649,20.3677,5.0151,3691.8130
1662.6284,0.014556,50150,730,10032,3.0289,2.0667,20.3799,5.0156,4770.3153
2493.9425,0.009183,50200,461,10044,2.8391,2.0849,20.4043,5.0166,6689.1361
